vehicle_type,track_id,plate_number,timestamp
Car,3,NAIJNRU,2026-04-24 11:46:21
Car,4,MSITSU,2026-04-24 11:46:21
Car,5,Not Detected,2026-04-24 11:46:21
Car,7,Not Detected,2026-04-24 11:46:21
Car,12,Not Detected,2026-04-24 11:46:21
Car,6,GXISOCJ,2026-04-24 11:48:21
Car,14,LMIJVCV,2026-04-24 11:48:21
Car,16,Not Detected,2026-04-24 11:49:03
Car,1,APOSJEO,2026-04-24 11:50:06
Car,8,KKO5ZZK,2026-04-24 11:51:10
Car,10,MROZFKD,2026-04-24 11:52:25
Car,17,FJAZHY,2026-04-24 11:53:09
Car,28,AK64DMV,2026-04-24 11:54:23
Car,47,Not Detected,2026-04-24 11:55:05
Car,37,EY6INBG,2026-04-24 11:55:20
Car,36,HNIAC,2026-04-24 11:57:22
Car,45,AVO8HVF,2026-04-24 11:57:44
Car,34,8G65USJ,2026-04-24 11:57:46
Car,51,NASAKGJ,2026-04-24 12:00:07
Car,70,Not Detected,2026-04-24 12:00:32
Truck,71,Not Detected,2026-04-24 12:03:28
Car,80,EFIODZT,2026-04-24 12:04:05
Car,81,KHO6KSU,2026-04-24 12:05:40
Car,90,Not Detected,2026-04-24 12:05:40
Car,97,Not Detected,2026-04-24 12:05:43
Car,49,AF65JKV,2026-04-24 12:07:02
Car,101,Not Detected,2026-04-24 12:07:23
Car,40,Not Detected,2026-04-24 12:07:37
Car,83,LNISZZC,2026-04-24 12:07:47
Car,106,Not Detected,2026-04-24 12:08:32
Car,67,6JO6EPD,2026-04-24 12:10:34
Car,119,J0MNA,2026-04-24 12:13:42
Car,86,DAO7CLX,2026-04-24 12:14:19
Car,129,Not Detected,2026-04-24 12:17:55
Car,116,EYO9VMS,2026-04-24 12:19:27
Car,118,Not Detected,2026-04-24 12:20:09
Car,142,Not Detected,2026-04-24 12:20:11
Car,157,Not Detected,2026-04-24 12:20:12
Car,147,Not Detected,2026-04-24 12:20:36
Car,153,Not Detected,2026-04-24 12:21:22
Car,138,Not Detected,2026-04-24 12:21:24
Car,178,Not Detected,2026-04-24 12:21:24
Car,177,Not Detected,2026-04-24 12:21:24
Car,160,ALUP,2026-04-24 12:21:35
Car,123,BP63LYH,2026-04-24 12:21:35
Car,185,Not Detected,2026-04-24 12:21:35
Car,179,Not Detected,2026-04-24 12:21:35
Car,188,Not Detected,2026-04-24 12:21:35
Car,169,Not Detected,2026-04-24 12:22:16
Car,197,Not Detected,2026-04-24 12:22:20
Car,195,Not Detected,2026-04-24 12:23:25
Car,199,Not Detected,2026-04-24 12:23:30
Car,186,NG6SZFX,2026-04-24 12:23:36
Car,201,Not Detected,2026-04-24 12:23:39
Car,206,Not Detected,2026-04-24 12:24:03
Car,213,Not Detected,2026-04-24 12:24:04
Car,205,LPIALJA,2026-04-24 12:24:23
Car,183,LLELPZS,2026-04-24 12:24:25
Car,166,Not Detected,2026-04-24 12:24:38
Car,145,Not Detected,2026-04-24 12:24:56
Car,221,Not Detected,2026-04-24 12:24:58
Car,220,LP14,2026-04-24 12:25:22
Car,194,NL64OGX,2026-04-24 12:26:22
Car,174,LPILJ,2026-04-24 12:28:07
Car,227,Not Detected,2026-04-24 12:28:12
Car,240,Not Detected,2026-04-24 12:28:23
Car,229,GI8S,2026-04-24 12:28:27
Car,225,CEGIWYL,2026-04-24 12:28:27
Car,218,Not Detected,2026-04-24 12:29:23
Car,242,Not Detected,2026-04-24 12:29:23
Car,222,Not Detected,2026-04-24 12:29:34
Car,232,428PF,2026-04-24 12:30:18
Car,252,Not Detected,2026-04-24 12:30:19
Car,250,7006XRO,2026-04-24 12:30:25
Car,253,Not Detected,2026-04-24 12:30:25
Car,267,Not Detected,2026-04-24 12:31:20
Car,254,Not Detected,2026-04-24 12:31:22
Car,274,Not Detected,2026-04-24 12:31:26
Car,248,GI8S,2026-04-24 12:31:41
Car,297,Not Detected,2026-04-24 12:33:23
Car,298,Not Detected,2026-04-24 12:33:52
